18,0
RoboRally,1
Richard Garfield,2
Wizards of the Coast,3
Peter Bergting,4
1994,5
2,6
8,7
120,8
45,9
12,10
24167,11
7.05,12
6.88,13
621,14
0,15
5735,16
1748,17
2.43,18
1.55,19
27969,20
698,21
497,22
2799,23
C:\Users\thoma\Downloads\bgg1toolu\img\000018.jpg,24
"Maze, Miniatures, Racing, Science Fiction",25
"Action Queue, Bias, Grid Movement, Lose a Turn, Modular Board, Programmed Movement, Race, Scenario / Mission / Campaign Game, Simultaneous Action Selection",26
N,27
P,28
R,29
B,30
"The robots of the RoboRally automobile factory spend their weekdays toiling at the assembly line. They put in hard hours building high-speed supercars they never get to see in action. But on Saturday nights, the factory becomes a world of mad machines and dangerous schemes as these robots engage in their own epic race.It takes speed, wits, and dirty tricks to become a racing legend! Each player chooses a robot and directs its moves by playing cards. Chaos ensues as all players reveal the cards they&apos;ve ...",31
216201,32
Robo Rally,33
33.94,34
"426981, 400748, 426979, 1569, 1968, 1967, 88354, 1966",35
"Strategy Games, Thematic Games",36
"Components: 12 x 12 Grids, Components: Miniatures, Components: Sand Timers, Misc: Dice Tower Hall of Fame, Theme: Robots, Theme: Sci-Fi Sports, Theme: Teaching Programming",37
9.98,38
