81,0
"EuroFront: War in Europe, 1939-45",1
Craig Besinque,2
Columbia Games,3
Eric Hotz,4
1995,5
2,6
6,7
600,8
12,9
97,10
7.08,11
5.56,12
0,13
70,14
16,15
3.69,16
1.44,17
376,18
31,19
3,20
14,21
C:\Users\thoma\Downloads\bgg1toolu\img\000081.jpg,22
"Expansion for Base-game, Wargame, World War II",23
"Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation",24
N,25
P,26
"EuroFront is a supplementary rules system that allows all of the Front games (EastFront: The War in Russia, 1941-45, WestFront: The War in Europe, 1943-45, MedFront: War in North Africa 1940-43 and possibly the VolgaFront: East of EastFront 1942-43 expansion) to be combined into one sprawling game that covers the entire European theater of WWII.  Rules are provided to link all the games together seamlessly and add units for neutral and minor powers in Europe.  Further, rules are provided so that simulate th...",27
Y,28
"77, 79, 80, 78",29
"EastFront: The War in Russia,  1941-45, MedFront: War in North Africa 1940-43, VolgaFront: East of EastFront 1942-43, WestFront: The War in Europe,  1943-45",30
22160,31
"EuroFront: The War in Europe, 1936-45 - Second Edition",32
325669,33
EuroFront Series Wargaming Map,34
19.90,35
Wargames,36
"Components: Block Wargames, Continents: Europe, Series: Front Series (Columbia)",37
"MasterFront: War in Europe, 1939-45",38
